,+noise,+signal,p-value
"{0, 1, 2, 3}",,,
"{0, 1, 2}",,241.01857,
"{0, 1, 3}",8.576885,,
"{0, 1}",4.402088,245.30661,3.7872832344622865e-06
"{0, 2, 3}",,,
"{0, 2}",,294.60147,
"{0, 3}",10.190218,,
{0},3.616212,300.9675,3.3486055944417452e-06
"{1, 2, 3}",,,
"{1, 2}",,304.63004,
"{1, 3}",16.37467,,
{1},5.529834,316.34668,3.999395072422606e-06
"{2, 3}",,,
{2},,358.49045,
{3},18.494902,,
{},0.5696794,375.40305,2.381224147518255e-06
