,0.0,0.2,0.4,0.6,0.8,0.99
x1,0.49578086,0.39409035,0.23230675,0.24206284,0.18414299,0.13861747
x2,0.4478323,0.37316138,0.2228395,0.27632684,0.24104826,0.20517798
x3,0.52231646,0.51943284,0.5249669,0.529754,0.5291197,0.5202178
signal,0.32535768,0.29913267,0.2935784,0.3672461,0.38957664,0.5001985
