,0.0,0.2,0.4,0.6,0.8,0.99
x1,0.3792702,0.35181713,0.3353577,0.3331946,0.3291302,0.3246206
x2,0.32157877,0.3079262,0.31305727,0.3107303,0.30200046,0.30353373
x3,0.55933505,0.5742665,0.58591306,0.57994086,0.5840824,0.5681584
signal,0.35014978,0.36009935,0.3743897,0.39057493,0.40716347,0.47312966
