,+noise,+signal,p-value
"{0, 1, 2, 3}",,,
"{0, 1, 2}",,139.70815,
"{0, 1, 3}",12.926035,,
"{0, 1}",2.5060654,139.56224,7.289613867980481e-08
"{0, 2, 3}",,,
"{0, 2}",,151.8829,
"{0, 3}",11.938064,,
{0},1.3491228,158.27802,3.7742664999938027e-07
"{1, 2, 3}",,,
"{1, 2}",,143.91551,
"{1, 3}",15.400964,,
{1},4.1799808,147.58572,1.0809218245872279e-07
"{2, 3}",,,
{2},,164.23634,
{3},29.940722,,
{},1.307336,171.49655,1.0531225310632222e-05
