,+noise,+signal,p-value
"{0, 1, 2, 3}",,,
"{0, 1, 2}",,44.640095,
"{0, 1, 3}",6.3789477,,
"{0, 1}",3.8568969,46.70642,1.4704575056411504e-09
"{0, 2, 3}",,,
"{0, 2}",,63.799152,
"{0, 3}",9.606691,,
{0},2.3997006,68.51527,1.37796583546004e-11
"{1, 2, 3}",,,
"{1, 2}",,56.955326,
"{1, 3}",9.984006,,
{1},4.3926263,62.825367,3.9767438375604555e-10
"{2, 3}",,,
{2},,74.8709,
{3},20.55543,,
{},1.4526851,93.7221,2.6076690598879414e-11
