,+noise,+signal,p-value
"{0, 1, 2, 3}",,,
"{0, 1, 2}",,2.813832,
"{0, 1, 3}",2.71679,,
"{0, 1}",1.7364036,2.3786948,4.3043020359711734e-05
"{0, 2, 3}",,,
"{0, 2}",,2.0006661,
"{0, 3}",1.8335235,,
{0},0.50168115,1.967179,1.2690318835271624e-12
"{1, 2, 3}",,,
"{1, 2}",,2.207489,
"{1, 3}",2.067752,,
{1},0.38175365,2.1318495,7.075206366783401e-13
"{2, 3}",,,
{2},,1.8749714,
{3},1.776499,,
{},0.0509103,2.4223542,8.613438079463001e-13
