,+noise,+signal,p-value
"{0, 1, 2, 3}",,,
"{0, 1, 2}",,1.1143486,
"{0, 1, 3}",0.060557682,,
"{0, 1}",0.20673348,1.0870696,3.766261228182061e-07
"{0, 2, 3}",,,
"{0, 2}",,4.143087,
"{0, 3}",0.12365292,,
{0},0.42502257,4.1563725,3.0892809454238677e-12
"{1, 2, 3}",,,
"{1, 2}",,3.2235947,
"{1, 3}",0.09091008,,
{1},0.3713757,3.1828468,1.0198684532712406e-11
"{2, 3}",,,
{2},,4.884585,
{3},0.25951856,,
{},3.4449868,5.1547546,2.0216391154846726e-07
