,+noise,+signal,p-value
"{0, 1, 2, 3}",,,
"{0, 1, 2}",,701.261,
"{0, 1, 3}",23.678473,,
"{0, 1}",15.739434,714.6189,2.026987251648014e-06
"{0, 2, 3}",,,
"{0, 2}",,895.14905,
"{0, 3}",34.604836,,
{0},10.960599,911.8374,8.466313874405561e-07
"{1, 2, 3}",,,
"{1, 2}",,814.2152,
"{1, 3}",54.072315,,
{1},29.312069,834.00024,5.001055396847118e-06
"{2, 3}",,,
{2},,975.29553,
{3},126.67371,,
{},6.3904533,950.79144,3.229318066493766e-05
