,+noise,+signal,p-value
"{0, 1, 2, 3}",,,
"{0, 1, 2}",,3.4338503,
"{0, 1, 3}",3.8172789,,
"{0, 1}",2.3462567,3.3570366,4.7295048179930816e-05
"{0, 2, 3}",,,
"{0, 2}",,2.4441266,
"{0, 3}",2.7326007,,
{0},0.40613386,2.4774394,1.8558473452170686e-13
"{1, 2, 3}",,,
"{1, 2}",,2.586491,
"{1, 3}",2.7226298,,
{1},0.40564695,2.7630763,9.896450800649937e-15
"{2, 3}",,,
{2},,2.6385043,
{3},3.1011405,,
{},0.069389984,3.917152,8.5458405237754e-12
