,"(0.0, 'MNAR')","(0.2, 'MNAR')","(0.4, 'MNAR')","(0.6, 'MNAR')","(0.8, 'MNAR')","(0.99, 'MNAR')"
x1,0.49578086,0.49024096,0.4966212,0.48916158,0.49352852,0.48355037
x2,0.4478323,0.436202,0.42734337,0.42738813,0.43910432,0.43660903
x3,0.52231646,0.5285476,0.5206261,0.51015115,0.50588256,0.5118743
signal,0.32535768,0.3362154,0.33567083,0.36303356,0.3770402,0.38804367
