,{},p-value
"{0, 1, 2, 3}",830.7116,
"{0, 1, 2}",52.31738,
"{0, 1, 3}",894.09125,
"{0, 1}",59.02576,
"{0, 2, 3}",898.7664,
"{0, 2}",11.995461,
"{0, 3}",989.28876,
{0},13.868729,
"{1, 2, 3}",938.18176,
"{1, 2}",36.20944,
"{1, 3}",1041.9503,
{1},43.08729,
"{2, 3}",1057.4631,
{2},3.0072303,
{3},1239.008,
{},0.0,
