,0.0,0.2,0.4,0.6,0.8,0.99
x1,0.3445382,0.32627112,0.32112622,0.3274642,0.33042148,0.33822343
x2,0.32402718,0.31682616,0.3153162,0.3178929,0.31478956,0.32507506
x3,0.50496227,0.49175605,0.49235058,0.4917361,0.48228702,0.4881274
signal,0.39761335,0.38153937,0.3706783,0.38190055,0.40111274,0.4635079
