,+noise,+signal,p-value
"{0, 1, 2, 3}",,,
"{0, 1, 2}",,4.230315,
"{0, 1, 3}",4.398422,,
"{0, 1}",2.9280205,3.9245486,8.595151596478976e-05
"{0, 2, 3}",,,
"{0, 2}",,2.9761255,
"{0, 3}",3.4867597,,
{0},0.48638597,3.1013021,5.4926452020269384e-14
"{1, 2, 3}",,,
"{1, 2}",,3.63394,
"{1, 3}",4.4913516,,
{1},0.51270646,3.8869839,1.048481610634718e-15
"{2, 3}",,,
{2},,3.3750794,
{3},4.3649263,,
{},0.037645813,5.6350236,3.54224846734627e-14
