,+noise,+signal,p-value
"{0, 1, 2, 3}",,,
"{0, 1, 2}",,4.4049306,
"{0, 1, 3}",4.0606565,,
"{0, 1}",3.413679,4.198228,0.012879022839061503
"{0, 2, 3}",,,
"{0, 2}",,4.671377,
"{0, 3}",4.9571686,,
{0},1.3551563,5.1666756,3.498806764617053e-14
"{1, 2, 3}",,,
"{1, 2}",,4.892819,
"{1, 3}",5.562655,,
{1},2.3514197,5.8283277,3.712121026253225e-10
"{2, 3}",,,
{2},,5.9145513,
{3},8.135157,,
{},0.28994745,8.952134,2.6416800137912433e-13
