,+noise,+signal,p-value
"{0, 1, 2, 3}",,,
"{0, 1, 2}",,192.43904,
"{0, 1, 3}",6.6113687,,
"{0, 1}",1.5960745,196.09749,4.663143132856608e-05
"{0, 2, 3}",,,
"{0, 2}",,218.8323,
"{0, 3}",9.66693,,
{0},0.6093532,224.64766,2.6520241972695858e-05
"{1, 2, 3}",,,
"{1, 2}",,210.10194,
"{1, 3}",12.085949,,
{1},3.0142875,216.84361,0.00012883305142732756
"{2, 3}",,,
{2},,240.76892,
{3},21.115173,,
{},2.018643,254.26888,9.251143704075718e-05
