,+noise,+signal,p-value
"{0, 1, 2, 3}",,,
"{0, 1, 2}",,4.349343,
"{0, 1, 3}",4.0222583,,
"{0, 1}",3.3384385,4.227647,0.001100608109358559
"{0, 2, 3}",,,
"{0, 2}",,4.0351124,
"{0, 3}",4.351489,,
{0},1.3281541,4.5313535,7.269123633502147e-15
"{1, 2, 3}",,,
"{1, 2}",,4.4024925,
"{1, 3}",4.925625,,
{1},2.2732182,4.9393215,1.0662680625269807e-10
"{2, 3}",,,
{2},,5.0485625,
{3},6.630085,,
{},0.39326075,7.0634456,2.0484000216052e-15
