,+noise,+signal,p-value
"{0, 1, 2, 3}",,,
"{0, 1, 2}",,3.7657206,
"{0, 1, 3}",3.3634183,,
"{0, 1}",2.424292,3.892366,2.3313512882707777e-11
"{0, 2, 3}",,,
"{0, 2}",,3.7159863,
"{0, 3}",3.3366492,,
{0},1.4380393,4.079021,6.897726078660883e-19
"{1, 2, 3}",,,
"{1, 2}",,3.2484145,
"{1, 3}",3.0032737,,
{1},1.4954047,3.839885,2.0028495172017337e-14
"{2, 3}",,,
{2},,3.8045406,
{3},3.3400779,,
{},0.22118504,4.7116513,1.3666992207498655e-14
